Time;Speed;Voltage;Current;Distance;Altitude;Date;SpeedGPS;Latitude;Longitude;AccuracyPosition;BatteryPercentage;WrongCRCs;AssistLevel;OffRoadMode;ErrorCode;DisplayTemp;MotorTemp;
09:40:27.604;21.42;51.51;0.50;1.45;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:27.753;21.42;51.29;0.50;1.45;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:27.995;21.42;51.44;1.00;1.46;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:28.173;21.42;51.44;1.00;1.46;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:28.383;21.42;51.36;0.50;1.46;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:28.624;21.29;51.36;1.00;1.46;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:28.834;21.29;51.22;1.00;1.46;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;26;255;
09:40:28.984;21.29;51.36;1.00;1.46;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:29.164;21.42;51.44;1.00;1.46;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:29.403;21.42;51.36;1.00;1.46;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:29.615;21.54;51.44;0.50;1.47;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:29.824;21.54;51.44;0.50;1.47;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;78;0;3;0;1;28;255;
09:40:29.974;21.54;51.51;1.00;1.47;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:30.184;21.67;51.58;0.50;1.47;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:30.394;21.67;51.58;0.50;1.47;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:30.664;21.54;51.58;0.00;1.47;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:30.903;21.67;51.58;0.50;1.47;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;26;255;
09:40:31.114;21.67;51.44;0.50;1.47;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:31.384;21.67;51.44;0.50;1.48;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:31.593;21.42;51.44;0.50;1.48;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:31.834;21.42;51.36;0.50;1.48;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:32.043;21.42;51.51;0.50;1.48;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:32.254;21.42;51.36;0.50;1.48;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:32.404;21.42;51.22;1.00;1.48;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;26;255;
09:40:32.615;21.29;51.22;1.00;1.48;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:32.912;21.29;51.36;1.50;1.48;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:33.092;21.29;51.22;1.00;1.49;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:33.244;21.16;51.36;1.00;1.49;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:33.484;21.16;51.29;2.00;1.49;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:33.752;21.16;51.22;1.50;1.49;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:33.963;21.16;51.22;2.00;1.49;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:34.173;21.29;51.44;1.00;1.49;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:34.383;21.42;51.51;1.00;1.49;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:34.651;21.54;51.44;1.00;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:34.833;21.54;51.51;0.50;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;26;255;
09:40:34.983;21.54;51.51;0.50;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:35.163;21.67;51.58;0.50;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:35.403;21.67;51.15;0.50;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;26;255;
09:40:35.553;21.67;51.44;0.50;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:35.733;21.67;51.51;0.50;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:35.973;21.67;51.51;0.50;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:36.243;21.79;51.51;0.50;1.50;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:36.483;21.79;51.58;0.50;1.51;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:36.693;21.92;51.44;0.50;1.51;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:36.963;21.92;51.36;0.00;1.51;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;26;255;
09:40:37.193;21.79;51.51;0.50;1.51;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:37.383;21.79;51.44;0.50;1.51;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:37.593;21.79;51.44;0.50;1.51;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:37.833;21.79;51.58;0.50;1.51;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;26;255;
09:40:37.983;21.79;51.58;0.50;1.52;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
